gate,name,city,center,techDuty,emotionalState,socialState,baseFiveCity,aaFamily,rnaCodon,stop,start,softStop
1,Creative,Spirit,G,Repo seeder (init new projects),Inspired,Innovator,Soul,,,,,
2,Receptive,Spirit,G,Input buffer / intake router,Open,Supporter,Soul,,,,,
3,Ordering,Body,Sacral,Process initializer (chaos→order),Persistent,Builder,Body,,,,,
4,Answers,Mind,Ajna,Query resolver / FAQ engine,Curious,Analyst,Mind,,,,,
5,Patterns / Timing,Body,Sacral,Scheduler / cron controller,Patient,Timekeeper,Body,,,,,
6,Friction,Body,Solar Plexus,Lock manager / concurrency,Irritable,Challenger,Body,,,,,
7,Leadership,Spirit,G,Router governance / policies,Responsible,Leader,Soul,,,,,
8,Contribution,Spirit,Throat,Publisher / outbound commits,Expressive,Influencer,Spirit,,,,,
9,Focus,Body,Sacral,Thread/CPU focus manager,Concentrated,Specialist,Body,,,,,
10,Behavior / Role,Spirit,G,Auth/AUP enforcement,Authentic,Role Model,Soul,,,,,
11,Ideas,Mind,Ajna,Idea backlog / tickets,Imaginative,Visionary,Mind,,,,,
12,Standstill,Spirit,Throat,Terminator: moderation stop,Reserved,Gatekeeper,Spirit,,UGA,True,,
13,Listener,Spirit,G,Audit logger / historian,Empathetic,Archivist,Soul,,,,,
14,Resources,Spirit,G,Resource allocator (compute/mem),Content,Provider,Soul,,,,,
15,Rhythm,Spirit,G,System load/rhythm balancer,Flexible,Harmonizer,Soul,,,,,
16,Skills,Spirit,Throat,Plugin compiler / skill libs,Enthusiastic,Craftsman,Spirit,,,,,
17,Opinions,Mind,Ajna,Analytics dashboard,Critical,Analyst,Mind,,,,,
18,Correction,Body,Spleen,Log auditing / QA,Discerning,Perfectionist,Body,,,,,
19,Needs,Body,Root,Resource requests / deps,Sensitive,Seeker,Body,,,,,
20,Now / Presence,Spirit,Throat,Live telemetry / stream logs,Present,Broadcaster,Spirit,,,,,
21,Control / Treasurer,Spirit,Heart,ACL manager / quotas,Assertive,Enforcer,Heart,,,,,
22,Grace / Openness,Body,Solar Plexus,UX input handler (forms/chat),Gracious,Greeter,Body,,,,,
